Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
1,Florida,82,3867.133333,159,124,2.4669,1.9239,56.1837,1798,1846,8.8432,93.2828,102.126,3107,3273,48.2062,50.7818,48.6991,101.329,30.755,32.9197,36.3252,0,201516
2,Washington,82,3939.316667,162,128,2.4674,1.9496,55.8621,1966,1801,8.2401,92.8928,101.133,3688,3545,56.1722,53.9941,50.9885,100.782,32.3415,30.228,37.4305,0,201516
3,NY Rangers,82,4001.166667,162,129,2.4293,1.9344,55.6701,1810,1967,8.9503,93.4418,102.392,3434,3815,51.495,57.2083,47.3721,101.336,31.0279,31.7113,37.2608,0,201516
4,Pittsburgh,82,3905.866667,159,128,2.4425,1.9663,55.4007,2109,1857,7.5391,93.1072,100.646,3776,3387,58.0051,52.0294,52.7153,100.432,33.1891,31.4329,35.378,1,201516
5,Tampa Bay,82,3824.633333,147,125,2.3061,1.961,54.0441,1865,1773,7.882,92.9498,100.832,3552,3254,55.723,51.048,52.1892,100.297,33.1846,30.3681,36.4473,0,201516
6,Los Angeles,82,3935.3,140,120,2.1345,1.8296,53.8462,2063,1711,6.7862,92.9866,99.7728,4082,3159,62.2367,48.1641,56.3734,99.631,36.8394,29.0686,34.0921,0,201516
7,St. Louis,82,3906.833333,139,123,2.1347,1.889,53.0534,1975,1809,7.038,93.2007,100.239,3616,3344,55.5335,51.3562,51.954,100.166,31.7896,33.5165,34.6939,0,201516
8,San Jose,82,3954.483333,147,131,2.2304,1.9876,52.8777,1888,1700,7.786,92.2941,100.08,3621,3386,54.9402,51.3746,51.6769,100.191,30.1471,30.7462,39.1068,-1,201516
9,Minnesota,82,3905.833333,137,126,2.1045,1.9356,52.0913,1765,1805,7.762,93.0194,100.781,3270,3588,50.2326,55.1176,47.6815,100.678,32.0438,32.0438,35.9125,0,201516
10,NY Islanders,82,4014.3,154,145,2.3018,2.1673,51.505,1898,1965,8.1138,92.6209,100.735,3676,3750,54.9436,56.0496,49.5018,100.323,32.5905,31.1699,36.2396,0,201516
11,Dallas,82,3919.05,161,153,2.4649,2.3424,51.2739,2046,1838,7.869,91.6757,99.5447,4020,3628,61.5455,55.5441,52.5628,99.7878,32.1816,30.7188,37.0996,0,201516
12,Boston,82,3947.866667,158,151,2.4013,2.2949,51.1327,2044,1967,7.7299,92.3233,100.053,3608,3675,54.8347,55.853,49.54,100.27,32.1185,32.1944,35.6872,0,201516
13,Philadelphia,82,3847.85,131,126,2.0427,1.9647,50.9728,1878,1936,6.9755,93.4917,100.467,3696,3602,57.6322,56.1664,50.644,100.046,32.0924,31.8207,36.087,0,201516
14,Nashville,82,3923.75,141,136,2.1561,2.0796,50.9025,1941,1744,7.2643,92.2018,99.4661,3671,3321,56.1351,50.7831,52.5029,99.7458,33.0951,30.9505,35.9545,0,201516
15,Winnipeg,82,3864.766667,144,142,2.2356,2.2045,50.3497,1893,1802,7.607,92.1199,99.7268,3546,3351,55.0512,52.0238,51.4137,99.8234,32.1884,30.0277,37.7839,0,201516
16,Ottawa,82,3942.166667,147,146,2.2373,2.2221,50.1706,1803,2088,8.1531,93.0077,101.161,3454,3813,52.5701,58.0341,47.5299,100.427,31.2632,32,36.7368,0,201516
17,Anaheim,82,3882.333333,126,131,1.9473,2.0246,49.0272,1899,1697,6.6351,92.2805,98.9156,3609,3270,55.7757,50.5366,52.464,99.4852,31.6821,32.3818,35.9362,0,201516
18,Montreal,82,3916.466667,145,151,2.2214,2.3133,48.9865,1978,1873,7.3306,91.9381,99.2687,3696,3478,56.6225,53.2827,51.5194,99.5816,31.2935,32.8607,35.8458,0,201516
19,Chicago,82,3985.016667,134,140,2.0176,2.1079,48.9051,1982,1962,6.7608,92.8644,99.6253,3680,3585,55.4075,53.9772,50.6538,99.7361,32.5983,30.3666,37.0351,0,201516
20,Arizona,82,3761.766667,128,135,2.0416,2.1532,48.6692,1674,1927,7.6464,92.9943,100.641,3223,3664,51.4067,58.4406,46.7983,100.287,30.7051,33.3154,35.9795,0,201516
21,Detroit,82,3863.383333,129,138,2.0034,2.1432,48.3146,1852,1872,6.9654,92.6282,99.5936,3401,3176,52.819,49.3246,51.7105,99.4479,34.2712,29.3191,36.4097,0,201516
22,Columbus,82,3916.133333,147,159,2.2522,2.4361,48.0392,1874,1958,7.8442,91.8795,99.7237,3427,3712,52.5059,56.8724,48.0039,100.006,30.2686,33.9876,35.7438,0,201516
23,Colorado,82,3891.85,138,150,2.1275,2.3125,47.9167,1771,2073,7.7922,92.7641,100.556,3193,4035,49.2259,62.2069,44.1754,100.604,29.4932,33.481,37.0258,0,201516
24,Calgary,82,3954.916667,151,168,2.2908,2.5487,47.3354,1852,1883,8.1533,91.0781,99.2314,3497,3771,53.053,57.2098,48.115,99.8629,31.1407,32.8113,36.048,0,201516
25,Carolina,82,4037,131,158,1.947,2.3483,45.3287,1917,1850,6.8336,91.4595,98.2931,3683,3475,54.7387,51.6473,51.4529,99.0101,32.3505,30.5487,37.1007,0,201516
26,New Jersey,82,3870.933333,108,131,1.674,2.0305,45.1883,1508,1742,7.1618,92.4799,99.6417,2723,3175,42.2069,49.2129,46.1682,99.8402,28.9625,34.2939,36.7435,0,201516
27,Buffalo,82,3976.983333,120,148,1.8104,2.2328,44.7761,1832,1977,6.5502,92.5139,99.0641,3311,3656,49.9524,55.1574,47.524,99.5761,30.6755,33.7748,35.5497,0,201516
28,Vancouver,82,3946.033333,123,152,1.8702,2.3112,44.7273,1801,2046,6.8295,92.5709,99.4004,3271,3659,49.736,55.6356,47.2006,99.6062,32.6815,32.2797,35.0388,0,201516
29,Edmonton,82,3912.733333,133,167,2.0395,2.5609,44.3333,1855,1971,7.1698,91.5271,98.697,3534,3712,54.1923,56.9218,48.7717,99.2645,30.2548,33.0149,36.7304,0,201516
30,Toronto,82,3866.866667,120,160,1.862,2.4826,42.8571,1886,1983,6.3627,91.9314,98.2941,3770,3576,58.497,55.4868,51.3204,98.7087,32.7002,32.5205,34.7793,0,201516
